record_id,date_id,plant_id,machine_id,shift_id,product_id,planned_qty,produced_qty,defective_qty,downtime_minutes,energy_consumed_kwh,failure_event,machine_wear_index
1,20250901,P01,M001,S1,PR05,466.8,442.5,9,4.3,37.31,False,0.1897
2,20250901,P01,M001,S2,PR04,402.0,369.6,5,30.2,36.86,False,0.1897
3,20250901,P01,M001,S3,PR05,447.1,411.2,7,47.5,31.29,False,0.1897
4,20250901,P01,M002,S1,PR04,690.5,700.1,11,5.1,25.67,False,0.1587
5,20250901,P01,M002,S2,PR03,755.1,747.8,18,18.1,26.08,False,0.1587
6,20250901,P01,M002,S3,PR02,749.9,736.3,16,11.0,24.67,False,0.1587
7,20250901,P01,M003,S1,PR03,345.1,347.1,4,2.7,46.82,False,0.0914
8,20250901,P01,M003,S2,PR01,364.7,372.0,6,3.1,46.43,False,0.0914
9,20250901,P01,M003,S3,PR01,343.2,326.5,6,12.0,49.64,False,0.0914
10,20250901,P01,M004,S1,PR01,207.3,182.5,5,27.5,48.85,False,0.1974
11,20250901,P01,M004,S2,PR04,197.2,192.8,3,20.6,51.11,False,0.1974
12,20250901,P01,M004,S3,PR05,201.9,205.5,4,3.8,56.75,False,0.1974
13,20250901,P01,M005,S1,PR02,480.0,467.0,7,16.6,42.38,False,0.1718
14,20250901,P01,M005,S2,PR01,466.7,455.7,11,7.3,42.59,False,0.1718
15,20250901,P01,M005,S3,PR05,439.2,404.2,8,3.6,40.39,False,0.1718
16,20250901,P01,M006,S1,PR05,314.9,293.4,4,9.8,56.95,False,0.1627
17,20250901,P01,M006,S2,PR03,301.4,290.4,5,15.2,58.63,False,0.1627
18,20250901,P01,M006,S3,PR01,325.1,297.7,4,12.4,58.19,False,0.1627
19,20250901,P01,M007,S1,PR05,453.4,460.1,5,3.3,31.97,False,0.1213
20,20250901,P01,M007,S2,PR01,521.1,512.7,11,3.3,27.91,False,0.1213
21,20250901,P01,M007,S3,PR04,490.3,449.5,6,35.7,26.05,False,0.1213
22,20250901,P01,M008,S1,PR02,200.8,175.9,3,40.0,71.49,False,0.0942
23,20250901,P01,M008,S2,PR04,218.3,205.6,4,18.2,74.57,False,0.0942
24,20250901,P01,M008,S3,PR04,213.5,210.0,2,8.3,76.76,False,0.0942
25,20250901,P02,M009,S1,PR05,432.6,424.2,4,19.9,39.15,False,0.0698
26,20250901,P02,M009,S2,PR03,445.5,424.3,5,33.5,35.54,False,0.0698
27,20250901,P02,M009,S3,PR03,432.8,415.6,6,5.4,39.0,False,0.0698
28,20250901,P02,M010,S1,PR05,743.5,705.1,13,21.3,30.18,False,0.1904
29,20250901,P02,M010,S2,PR04,724.4,672.4,12,15.9,27.13,False,0.1904
30,20250901,P02,M010,S3,PR01,701.9,659.9,14,28.9,30.55,False,0.1904
31,20250901,P02,M011,S1,PR01,323.4,281.3,6,32.6,41.65,False,0.1233
32,20250901,P02,M011,S2,PR03,309.8,184.6,3,197.0,25.47,True,0.1233
33,20250901,P02,M011,S3,PR04,309.2,314.2,5,6.3,43.19,False,0.0439
34,20250901,P02,M012,S1,PR04,183.9,171.3,4,5.2,54.53,False,0.0818
35,20250901,P02,M012,S2,PR02,184.1,181.8,2,9.7,55.94,False,0.0818
36,20250901,P02,M012,S3,PR05,208.8,207.7,2,8.2,49.62,False,0.0818
37,20250901,P02,M013,S1,PR01,464.3,406.3,8,31.8,35.19,False,0.0975
